Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Pop growth rate
"Uruguay",2238506,2261141,2285906,2312737,2341496,2371978,2403897,2436899,2470569,2504449,2538095,2571134,2603317,2634538,2664775,2693906,2722232,2749441,2774109,2794374,2809117,2817577,2820734,2821367,2823326,2829391,2840601,2856206,2874998,2894983,2914683,2933904,2953118,2972284,2991478,3010766,3029948,3048955,3068166,3088110,3109122,3131140,3153857,3177035,3200342,3223401,3246484,3269301,3290261,3307290,3319066,3324810,3325379,3323124,3321367,3322529,3327451,3335528,3345967,3357391,3368786,3380008,3391428,3403117,0.52026262158779124
"Uzbekistan",6313997,6461092,6633911,6826552,7034674,7255501,7487907,7732330,7990524,8265144,8558503,8871244,9201176,9542785,9888629,10233502,10574321,10912708,11253870,11605561,11972994,12358535,12759275,13168838,13578159,13980997,14374729,14762133,15148932,15543520,15951899,16375762,16812955,17260951,17715706,18174143,18634041,19095670,19561181,20033912,20515248,21005364,21500062,21990917,22466866,22919357,23347452,23751722,24127427,24469439,24775610,25042537,25275028,25489492,25708188,25947414,26213729,26503833,26811974,27128063,27444702,27760267,28077486,28398155,3.4976510125044404
"Wallis et Futuna",7002,7088,7238,7420,7611,7795,7965,8119,8263,8408,8563,8731,8904,9061,9174,9224,9206,9133,9026,8921,8841,8792,8775,8809,8919,9118,9412,9793,10240,10728,11232,11751,12278,12778,13207,13534,13742,13843,13869,13870,13882,13914,13957,14013,14077,14146,14224,14311,14396,14462,14499,14503,14477,14424,14345,14247,14128,13989,13843,13698,13566,13450,13348,13263,0.89417309340188522
"Vanuatu",47695,48921,50295,51775,53326,54925,56565,58247,59984,61796,63702,65709,67806,69962,72131,74287,76410,78520,80672,82945,85393,88029,90831,93768,96799,99886,103031,106231,109436,112587,115641,118584,121438,124252,127097,130030,133041,136129,139368,142852,146636,150791,155270,159857,164254,168263,171783,174921,177946,181239,185074,189544,194555,199968,205561,211170,216760,222377,228041,233790,239651,245619,251674,257812,4.405430338609917
"Venezuela",5093708,5290182,5504783,5733449,5972956,6220929,6475873,6737137,7004812,7279562,7562108,7852680,8150542,8453781,8759890,9067485,9375646,9686071,10003238,10333268,10680678,11045959,11428022,11827681,12245478,12681017,13135849,13607958,14088961,14567680,15036273,15490555,15932973,16370463,16813481,17269324,17740108,18222505,18711830,19201096,19685177,20162745,20635233,21103592,21569680,22034909,22499248,22962221,23424338,23886213,24348304,24810691,25273336,25736393,26199994,26664122,27128721,27593427,28057485,28519913,28979857,29436891,29890694,30340637,4.95649318728125
"West Bank and Gaza",931926,923749,931889,948727,968566,987629,1004154,1018301,1031870,1047848,1069013,1096461,1128310,1159145,1181587,1190923,1184258,1164684,1140772,1124574,1124591,1144161,1180264,1227284,1276627,1322064,1362064,1398736,1433821,1470297,1510360,1554600,1602309,1652945,1705584,1759763,1815117,1872515,1934197,2003149,2081424,2169061,2265030,2368849,2479672,2596289,2719644,2848359,2976131,3094711,3198560,3284920,3356379,3419418,3483483,3555582,3637689,3728259,3826546,3930672,4039192,4152369,4270791,4393572,3.7145073750490916
"Western Sahara",13766,16066,17591,18754,19877,21197,22853,24895,27297,29967,32806,35763,38881,42323,46308,50938,56561,63023,69339,74168,76691,76196,73333,70287,70089,74789,85344,100766,118776,136080,150303,160677,167963,173189,178007,183630,190327,197692,205489,213285,220794,228137,235580,243167,250946,259049,267217,275674,285582,298482,315340,336758,362070,389412,416172,440469,461610,480140,496923,513367,530500,548377,566613,585270,41.515618189742845
"Vietnam",28264391,28818993,29403860,30017460,30659157,31329210,32028847,32760191,33526032,34329446,35172657,36055820,36975957,37926503,38898597,39884879,40880598,41883842,42893258,43908540,44927973,45957991,46994771,48015047,48987973,49895731,50724015,51490844,52250324,53076862,54023152,55109176,56317461,57616926,58959045,60307305,61647642,62986915,64333357,65702500,67101583,68535628,69987617,71416812,72769366,74008073,75117209,76111109,77020331,77890899,78758010,79629676,80500625,81377056,82262996,83161145,84075580,85007447,85951912,86901173,87848445,88791996,89730274,90656550,2.2074474910851607
"Virgin Islands (U.S.)",26795,27295,27974,28613,29088,29362,29498,29650,30045,30960,32632,35178,38513,42314,46122,49610,52624,55278,57831,60675,64070,68102,72610,77310,81802,85790,89169,92008,94399,96498,98423,100216,101827,103177,104146,104668,104698,104319,103761,103333,103253,103618,104356,105315,106260,107018,107546,107903,108132,108316,108511,108726,108933,109122,109270,109363,109401,109389,109327,109216,109056,108846,108590,108300,3.0417988430677365
"Yemen, Rep.",4316001,4382878,4454322,4529011,4606037,4684895,4765512,4848224,4933703,5022846,5116419,5214688,5317095,5422115,5527652,5632206,5737000,5842868,5947698,6048704,6144992,6235264,6323380,6419984,6539217,6691425,6880620,7104782,7360655,7642329,7945180,8270681,8620116,8988432,9369068,9758220,10149222,10544972,10962489,11425336,11948209,12540234,13190192,13867656,14530275,15148172,15710211,16226938,16716850,17208494,17723186,18266008,18831819,19419710,20026117,20648643,21288070,21946990,22626595,23328214,24052514,24799880,25569263,26358020,5.1070467777926831
"Zambia",2340352,2396669,2456377,2519173,2584872,2653413,2724859,2799397,2877314,2958976,3044733,3134831,3229329,3328063,3430747,3537265,3647470,3761707,3880914,4006340,4138837,4278863,4426079,4579560,4737942,4900255,5066012,5235519,5409528,5589172,5775165,5967511,6165560,6368542,6575403,6785211,6998307,7214499,7431752,7647450,7860053,8067972,8272498,8478471,8692599,8919456,9161931,9418120,9682058,9945115,10201562,10449825,10693471,10938261,11192422,11462365,11750105,12055384,12379612,12723746,13088570,13474959,13883577,14314515,5.1163940296160577
"Zimbabwe",2746854,2830448,2918424,3010186,3105348,3203736,3305402,3410607,3519798,3633542,3752373,3876616,4006236,4140773,4279524,4422087,4568266,4718550,4874043,5036244,5206229,5385233,5573154,5768190,5967705,6170260,6374197,6581329,6797807,7032001,7289463,7571447,7874642,8194203,8523090,8855279,9189169,9523376,9852244,10169188,10469202,10748215,11005690,11244552,11469872,11684693,11891290,12086519,12261742,12405236,12509477,12575015,12607791,12612956,12597877,12570686,12529655,12481245,12451543,12473992,12571454,12754378,13013678,13327925,3.8520689486954893
