Reseller,Year Opened,Bank Name,Business Type,Year of First Order,Year of Last Order,Reseller Annual Sales,Reseller Phone,Number of Employees,Annual Revenue,Reseller Address,Reseller City,Reseller Country Code,Reseller Country,Reseller Zip Code,Reseller State Province,Reseller State Province Code,Minimum Payment Amt,Reseller Product Line,Reseller Order Frequency,Reseller Order Month,Reseller Sales Territory Country,Reseller Sales Territory Group,Reseller Sales Territory Region,Reseller Key
"Prosperous Tours",2003,"Guardian Bank","Warehouse",2011,2013,3000000,"1 (11) 500 555-0179",99,300000,"99-3 Forest Works","London","GB","United Kingdom","E17 6JF","England","ENG",,"Road","Q",4,"United Kingdom","Europe","United Kingdom",538
"Community Department Stores",1987,"United Security","Specialty Bike Shop",2012,2013,1500000,"1 (11) 500 555-0187",34,150000,"3639, rue des Grands Champs","Boulogne-sur-Mer","FR","France","62200","Pas de Calais","62",,"Mountain","A",6,"France","Europe","France",571
"Versatile Sporting Goods Company",2000,"Primary Bank & Reserve","Warehouse",2012,2013,3000000,"1 (11) 500 555-0191",64,300000,"Alderstr 1849","Braunschweig","DE","Germany","38001","Nordrhein-Westfalen","NW",,"Road","Q",4,"Germany","Europe","Germany",572
"Area Sheet Metal Supply",1999,"Reserve Security","Specialty Bike Shop",2012,2013,1500000,"1 (11) 500 555-0119",37,150000,"399 Clearing Green","London","GB","United Kingdom","EC1R 0DU","England","ENG",,"Road","A",5,"United Kingdom","Europe","United Kingdom",574
"Fitness Discount Store",1997,"Primary International","Value Added Reseller",2012,2013,800000,"1 (11) 500 555-0134",11,80000,"Level 992 56 Pitt Street","Melbourne","AU","Australia","3000","Victoria","VIC",600,"Touring","S",4,"Australia","Pacific","Australia",591
"Cycling Goods",1990,"United Security","Specialty Bike Shop",2012,2013,1500000,"1 (11) 500 555-0115",47,150000,"997b Tradescant Road","London","GB","United Kingdom","SW8 1XD","England","ENG",600,"Road","A",5,"United Kingdom","Europe","United Kingdom",592
"Sensible Sports",1982,"United Security","Specialty Bike Shop",2012,2013,1500000,"1 (11) 500 555-0159",33,150000,"Level 5 157 Liverpool Street","Rhodes","AU","Australia","2138","New South Wales","NSW",,"Touring","A",4,"Australia","Pacific","Australia",634
"Sports Store",1984,"Primary Bank & Reserve","Warehouse",2012,2013,3000000,"1 (11) 500 555-0110",95,300000,"Internet House, 3399 Science Park","Cambridge","GB","United Kingdom","CB4 4BZ","England","ENG",600,"Mountain","Q",6,"United Kingdom","Europe","United Kingdom",635
"Metropolitan Equipment",1990,"International Bank","Warehouse",2012,2013,3000000,"1 (11) 500 555-0175",96,300000,"88, avenue de l' Union Centrale","Paris","FR","France","75012","Seine (Paris)","75",,"Road","Q",5,"France","Europe","France",638
"Producer Goods Clearinghouse",1992,"International Security","Value Added Reseller",2012,2013,800000,"1 (11) 500 555-0178",16,80000,"Postfach 55 00 00","Frankfurt","DE","Germany","91480","Bayern","BY",,"Road","S",4,"Germany","Europe","Germany",639
"Eastside Cycle Shop",1992,"Guardian Bank","Value Added Reseller",2012,2013,800000,"1 (11) 500 555-0118",11,80000,"45671 Queens Road Ct.","Melbourne","AU","Australia","3000","Victoria","VIC",600,"Touring","S",4,"Australia","Pacific","Australia",664
"Oils and Fluids Warehouse",1999,"United Security","Specialty Bike Shop",2012,2013,1500000,"1 (11) 500 555-0137",37,150000,"Park House-4th Floor, 2516 Park St.","London","GB","United Kingdom","W1Y 3RA","England","ENG",,"Mountain","A",5,"United Kingdom","Europe","United Kingdom",683
"Finished Parts Shop",1999,"Reserve Security","Specialty Bike Shop",2012,2013,1500000,"1 (11) 500 555-0177",40,150000,"62, route de Marseille","Suresnes","FR","France","92150","Hauts de Seine","92",600,"Mountain","A",5,"France","Europe","France",686
"Bicycle Warehouse Inc.",2000,"Reserve Security","Specialty Bike Shop",2013,2013,1000000,"1 (11) 500 555-0167",22,100000,"Karl Liebknecht str 299","Frankfurt am Main","DE","Germany","60075","Saarland","SL",,"Mountain","A",6,"Germany","Europe","Germany",14
"Budget Toy Store",2002,"International Bank","Warehouse",2013,2013,3000000,"1 (11) 500 555-0140",52,300000,"25 Epping Road","Lavender Bay","AU","Australia","2060","New South Wales","NSW",600,"Mountain","Q",6,"Australia","Pacific","Australia",15
"Wheels Inc.",1998,"Primary International","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0198",16,80000,"21105, rue de Varenne","Paris","FR","France","75013","Seine (Paris)","75",200,"Road","S",5,"France","Europe","France",31
"Global Sports Outlet",1997,"Primary Bank & Reserve","Warehouse",2013,2013,3000000,"1 (11) 500 555-0189",70,300000,"Ctrcrt Bus Pk/995-27 Paul St N","Lavender Bay","AU","Australia","2060","New South Wales","NSW",,"Mountain","Q",6,"Australia","Pacific","Australia",33
"Neighborhood Bicycle Storehouse",1989,"Reserve Security","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0181",10,80000,"69, boulevard Tremblay","Roncq","FR","France","59223","Nord","59",,"Touring","S",6,"France","Europe","France",49
"Hometown Riding Supplies",1995,"International Bank","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0112",46,150000,"Bundesallee 9571 Rechnungsstelle - C 035","Berlin","DE","Germany","14197","Brandenburg","BB",,"Mountain","A",10,"Germany","Europe","Germany",50
"Ideal Components",1988,"International Security","Warehouse",2013,2013,3000000,"1 (11) 500 555-0133",82,300000,"2-252 Beauchamp Road Botany Bay Industrial Estate","Cloverdale","AU","Australia","6105","South Australia","SA",,"Touring","Q",6,"Australia","Pacific","Australia",51
"Instruments and Parts Company",1994,"Primary International","Value Added Reseller",2013,2013,300000,"1 (11) 500 555-0155",9,30000,"Phoenix Way, Cirencester","Gloucestershire","GB","United Kingdom","GL7 1RY","England","ENG",600,"Touring","S",6,"United Kingdom","Europe","United Kingdom",52
"North Bike Company",1986,"Primary Bank & Reserve","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0184",40,150000,"Auf Der Steige 29","Muehlheim","DE","Germany","63151","Hamburg","HH",,"Road","A",5,"Germany","Europe","Germany",68
"Online Bike Catalog",1979,"Guardian Bank","Warehouse",2013,2013,3000000,"1 (11) 500 555-0113",88,300000,"65 Epping Rd","Lavender Bay","AU","Australia","2060","New South Wales","NSW",,"Touring","Q",6,"Australia","Pacific","Australia",69
"Outdoor Aerobic Systems Company",1985,"Reserve Security","Value Added Reseller",2013,2013,300000,"1 (11) 500 555-0122",3,30000,"255 Irving Street","London","GB","United Kingdom","C2H 7AU","England","ENG",600,"Road","S",2,"United Kingdom","Europe","United Kingdom",70
"Roadway Bicycle Supply",1974,"International Bank","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0170",10,80000,"121, rue de Varenne","Courbevoie","FR","France","92400","Hauts de Seine","92",600,"Touring","S",5,"France","Europe","France",85
"Rich Department Store",1978,"Primary International","Warehouse",2013,2013,3000000,"1 (11) 500 555-0118",94,300000,"99 - 6 Orion Road","Lane Cove","AU","Australia","1597","New South Wales","NSW",,"Touring","Q",5,"Australia","Pacific","Australia",87
"Closest Bicycle Store",1980,"United Security","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0173",12,80000,"Garamonde Drive, Wymbush PO Box 4023","Milton Keynes","GB","United Kingdom","MK8 8ZD","England","ENG",,"Mountain","S",6,"United Kingdom","Europe","United Kingdom",88
"The Bike Outlet",2004,"Primary Bank & Reserve","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0131",19,80000,"22, rue du D‚part","Pantin","FR","France","93500","Seine Saint Denis","93",600,"Touring","S",5,"France","Europe","France",103
"Very Best Sports Supply",1975,"Guardian Bank","Specialty Bike Shop",2013,2013,1000000,"1 (11) 500 555-0117",28,100000,"Kurfrstenstr 9","Duesseldorf","DE","Germany","40605","Hessen","HE",,"Road","A",6,"Germany","Europe","Germany",104
"West Side Mart",1979,"International Bank","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0120",18,80000,"251 The Metro Center","Wokingham","GB","United Kingdom","RG41 1QW","England","ENG",,"Touring","S",6,"United Kingdom","Europe","United Kingdom",106
"Off-Price Bike Center",1998,"Primary International","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0114",14,80000,"Postfach 11 09 00","Berlin","DE","Germany","14111","Hessen","HE",,"Touring","S",6,"Germany","Europe","Germany",122
"Rental Gallery",1999,"International Bank","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0176",40,150000,"2520b Underwood Street","Lavender Bay","AU","Australia","2060","New South Wales","NSW",600,"Mountain","A",5,"Australia","Pacific","Australia",141
"Riding Cycles",1997,"International Security","Warehouse",2013,2013,3000000,"1 (11) 500 555-0114",70,300000,"Galashiels","Liverpool","GB","United Kingdom","L4 4HB","England","ENG",,"Road","Q",6,"United Kingdom","Europe","United Kingdom",142
"Uncompromising Quality Co",1995,"Primary Bank & Reserve","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0177",46,150000,"65 Epping Road","North Ryde","AU","Australia","2113","New South Wales","NSW",,"Touring","A",5,"Australia","Pacific","Australia",159
"Rodeway Bike Store",1980,"International Bank","Value Added Reseller",2013,2013,300000,"1 (11) 500 555-0163",4,30000,"Winterfeldtstr 5557 Kreditorenbuchhaltung","Münster","DE","Germany","48001","Saarland","SL",,"Mountain","S",6,"Germany","Europe","Germany",176
"Rampart Amusement Company",1979,"Primary International","Warehouse",2013,2013,3000000,"1 (11) 500 555-0193",88,300000,"Bradford Raven House, Kingsgate","W. York","GB","United Kingdom","BD1 4SJ","England","ENG",,"Touring","Q",5,"United Kingdom","Europe","United Kingdom",178
"Perfect Toys",1978,"United Security","Warehouse",2013,2013,3000000,"1 (11) 500 555-0165",93,300000,"68081, place du Tertre","Colomiers","FR","France","31770","Garonne (Haute)","31",,"Touring","Q",5,"France","Europe","France",193
"Inexpensive Parts Shop",1976,"Guardian Bank","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0180",34,150000,"2253 Miller Street","North Sydney","AU","Australia","2055","New South Wales","NSW",600,"Mountain","A",6,"Australia","Pacific","Australia",195
"Enterprise Center",2004,"International Security","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0187",19,80000,"Kurfrstenstr 574","München","DE","Germany","80074","Hessen","HE",,"Touring","S",6,"Germany","Europe","Germany",212
"Fast Bike Works",1975,"Primary International","Specialty Bike Shop",2013,2013,1000000,"1 (11) 500 555-0168",28,100000,"Level 100 77 Southbank Boulevard","South Melbourne","AU","Australia","3205","Victoria","VIC",600,"Touring","A",5,"Australia","Pacific","Australia",213
"Global Bike Retailers",1996,"Guardian Bank","Warehouse",2013,2013,1500000,"1 (11) 500 555-0179",49,150000,"K”nigsteiner Straáe 9","Bad Soden","DE","Germany","65800","Hessen","HE",,"Touring","Q",5,"Germany","Europe","Germany",230
"Good Bicycle Store",1995,"Primary International","Warehouse",2013,2013,3000000,"1 (11) 500 555-0158",67,300000,"Werftstr 4400","Sulzbach Taunus","DE","Germany","66272","Saarland","SL",,"Road","Q",1,"Germany","Europe","Germany",248
"Helpful Sales and Repair Service",1998,"United Security","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0189",16,80000,"Licensing Account","Seaford","AU","Australia","3198","Victoria","VIC",,"Touring","S",6,"Australia","Pacific","Australia",249
"Express Bike Services",1999,"Primary Bank & Reserve","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0127",40,150000,"586 Fulham Road,","London","GB","United Kingdom","SW6 SBY","England","ENG",600,"Mountain","A",5,"United Kingdom","Europe","United Kingdom",250
"Excellent Bikes",1996,"Reserve Security","Warehouse",2013,2013,3000000,"1 (11) 500 555-0129",81,300000,"Hans-Rosenthal-Platz 4223","Grevenbroich","DE","Germany","41485","Bayern","BY",,"Touring","Q",5,"Germany","Europe","Germany",266
"Cycle Parts and Accessories",1989,"International Bank","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0179",10,80000,"Level 99 12 South 10th Avenue","Melbourne","AU","Australia","3000","Victoria","VIC",,"Touring","S",6,"Australia","Pacific","Australia",267
"Channel Outlet",1995,"International Security","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0138",46,150000,"Knaves Beech Ind.","High Wycombe","GB","United Kingdom","HP10 9QY","England","ENG",600,"Touring","A",6,"United Kingdom","Europe","United Kingdom",268
"Racing Supply Distributors",1981,"Primary International","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0112",41,150000,"57, rue des Vendangeurs","Roissy en Brie","FR","France","77680","Seine et Marne","77",600,"Touring","A",5,"France","Europe","France",283
"Nearby Bike Mall",1987,"United Security","Warehouse",2013,2013,3000000,"1 (11) 500 555-0148",87,300000,"Nonnendamm 63","Berlin","DE","Germany","14197","Nordrhein-Westfalen","NW",1000,"Road","Q",6,"Germany","Europe","Germany",284
"Nearest Bike Store",1980,"Primary Bank & Reserve","Value Added Reseller",2013,2013,300000,"1 (11) 500 555-0151",4,30000,"Ctrcrt Bus Pk/995-27 Paul St N","North Ryde","AU","Australia","2113","New South Wales","NSW",,"Touring","S",6,"Australia","Pacific","Australia",285
"Seaside Bike Works",1974,"International Security","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0187",10,80000,"2501 Miller Street","North Sydney","AU","Australia","2055","New South Wales","NSW",,"Touring","S",6,"Australia","Pacific","Australia",303
"Essential Bike Works",1976,"Primary International","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0182",34,150000,"New Millhouse, 2583 Milton Park","Abingdon","GB","United Kingdom","OX14 4SE","England","ENG",,"Road","A",6,"United Kingdom","Europe","United Kingdom",304
"Cycles Sales and Repair",2005,"United Security","Specialty Bike Shop",2013,2013,1000000,"1 (11) 500 555-0181",29,100000,"3387, rue Marbeuf","Bobigny","FR","France","93000","Seine Saint Denis","93",,"Touring","A",6,"France","Europe","France",319
"Second Bike Shop",2004,"Guardian Bank","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0140",19,80000,"6 Lord Street","Matraville","AU","Australia","2036","New South Wales","NSW",,"Road","S",2,"Australia","Pacific","Australia",321
"Rambling Tours",1994,"International Security","Specialty Bike Shop",2013,2013,800000,"1 (11) 500 555-0136",19,80000,"Rotth„user Weg 511","Stuttgart","DE","Germany","70511","Saarland","SL",600,"Touring","A",9,"Germany","Europe","Germany",338
"Major Bicycle Store",1996,"Primary International","Warehouse",2013,2013,1500000,"1 (11) 500 555-0180",49,150000,"Level 6 538 Climbing Street","Matraville","AU","Australia","2036","New South Wales","NSW",1000,"Touring","Q",8,"Australia","Pacific","Australia",339
"Quality Bike Sales",1995,"Reserve Security","Warehouse",2013,2013,3000000,"1 (11) 500 555-0181",67,300000,"P.O. Box 990032","Findon","AU","Australia","5023","South Australia","SA",,"Touring","Q",5,"Australia","Pacific","Australia",357
"Mail Market",1998,"International Bank","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0144",16,80000,"308-3250 Casting Road","York","GB","United Kingdom","Y024 1GF","England","ENG",,"Touring","S",5,"United Kingdom","Europe","United Kingdom",358
"Pretty Bikes and Toys",1988,"Guardian Bank","Value Added Reseller",2013,2013,300000,"1 (11) 500 555-0115",5,30000,"9005, rue des Bouchers","Paris","FR","France","75005","Seine (Paris)","75",,"Road","S",5,"France","Europe","France",391
"Gears and Parts Company",1987,"International Bank","Warehouse",2013,2013,3000000,"1 (11) 500 555-0155",87,300000,"2nd Floor 55 Lavender Street","Milsons Point","AU","Australia","2061","New South Wales","NSW",600,"Touring","Q",5,"Australia","Pacific","Australia",393
"Pedaling Components",1992,"United Security","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0139",35,150000,"Conesweg 49","Kiel","DE","Germany","24044","Saarland","SL",,"Touring","A",5,"Germany","Europe","Germany",410
"Kids and Adults Cycle Shop",1978,"Primary Bank & Reserve","Warehouse",2013,2013,3000000,"1 (11) 500 555-0142",93,300000,"258 Berry Street","North Sydney","AU","Australia","2055","New South Wales","NSW",600,"Mountain","Q",5,"Australia","Pacific","Australia",411
"Atypical Bike Company",2004,"Reserve Security","Value Added Reseller",2013,2013,1000000,"1 (11) 500 555-0122",20,100000,"7551, avenue Foch","Paris","FR","France","75010","Seine (Paris)","75",200,"Road","S",11,"France","Europe","France",427
"West Wind Distributors",2005,"International Bank","Specialty Bike Shop",2013,2013,1000000,"1 (11) 500 555-0112",29,100000,"Kr”nerweg 9249","Hannover","DE","Germany","30601","Nordrhein-Westfalen","NW",,"Touring","A",6,"Germany","Europe","Germany",428
"First Center",1990,"United Security","Warehouse",2013,2013,1500000,"1 (11) 500 555-0130",46,150000,"22, rue Lafayette","Pantin","FR","France","93500","Seine Saint Denis","93",,"Mountain","Q",6,"France","Europe","France",445
"Fitness Toys",1992,"Primary Bank & Reserve","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0115",11,80000,"Auf Der Steige 1000","Berlin","DE","Germany","14111","Hamburg","HH",,"Touring","S",5,"Germany","Europe","Germany",446
"Action Bicycle Specialists",1996,"Reserve Security","Warehouse",2013,2013,1500000,"1 (11) 500 555-0176",49,150000,"Warrington Ldc Unit 25/2","Woolston","GB","United Kingdom","WA1 4SY","England","ENG",600,"Touring","Q",6,"United Kingdom","Europe","United Kingdom",448
"Educational Services",1991,"International Security","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0147",17,80000,"Wallstr 244","Saarbrücken","DE","Germany","66001","Saarland","SL",,"Touring","S",6,"Germany","Europe","Germany",464
"Central Bicycle Specialists",1995,"United Security","Warehouse",2013,2013,3000000,"1 (11) 500 555-0136",67,300000,"6 The Farm, Liberty Road","Maidenhead","GB","United Kingdom","SL67RJ","England","ENG",600,"Touring","Q",6,"United Kingdom","Europe","United Kingdom",466
"Fitness Bike Accessories",1990,"Reserve Security","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0123",47,150000,"Level 7 114 Albert Road","Rhodes","AU","Australia","2138","New South Wales","NSW",,"Touring","A",6,"Australia","Pacific","Australia",483
"Jumbo Bikes",1981,"United Security","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0119",41,150000,"254a James Street Botany","Malabar","AU","Australia","2036","New South Wales","NSW",,"Touring","A",6,"Australia","Pacific","Australia",501
"Regional Cycle Shop",1979,"Reserve Security","Value Added Reseller",2013,2013,300000,"1 (11) 500 555-0132",8,30000,"Karl Liebknecht str 399 Leiter der Abteilung","Berlin","DE","Germany","14111","Hessen","HE",,"Road","S",3,"Germany","Europe","Germany",518
"List Price Catalog Company",1992,"International Bank","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0114",35,150000,"Level 25 96 Lytton Rd.","Melbourne","AU","Australia","3000","Victoria","VIC",,"Touring","A",5,"Australia","Pacific","Australia",519
"Metro Metals Co.",1978,"International Security","Warehouse",2013,2013,3000000,"1 (11) 500 555-0118",93,300000,"2524 Barlby Road","London","GB","United Kingdom","W10 6BL","England","ENG",,"Touring","Q",5,"United Kingdom","Europe","United Kingdom",520
"Next Door Cycles",2004,"United Security","Value Added Reseller",2013,2013,1000000,"1 (11) 500 555-0199",20,100000,"Brunnenstr 9511","Berlin","DE","Germany","14197","Saarland","SL",600,"Touring","S",6,"Germany","Europe","Germany",536
"Accessories Network",1988,"Reserve Security","Specialty Bike Shop",2013,2013,800000,"1 (11) 500 555-0162",16,80000,"699bis, rue des Peupliers","Paris","FR","France","75008","Seine (Paris)","75",,"Touring","A",6,"France","Europe","France",553
"Top of the Line Bikes",1990,"International Bank","Warehouse",2013,2013,1500000,"1 (11) 500 555-0198",46,150000,"Knaackstr 7","Paderborn","DE","Germany","33041","Hamburg","HH",600,"Touring","Q",5,"Germany","Europe","Germany",554
"Twin Cycles",1992,"International Security","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0190",11,80000,"2253-217 Palmer Street","Darlinghurst","AU","Australia","2010","New South Wales","NSW",,"Touring","S",6,"Australia","Pacific","Australia",555
"Variety Cycling",1994,"Primary International","Specialty Bike Shop",2013,2013,800000,"1 (11) 500 555-0195",19,80000,"46-44 Albemarle Street","London","GB","United Kingdom","W1X3SE","England","ENG",,"Touring","A",5,"United Kingdom","Europe","United Kingdom",556
"Nationwide Supply",1991,"Guardian Bank","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0132",17,80000,"4250 Concord Road","Rhodes","AU","Australia","2138","New South Wales","NSW",,"Touring","S",6,"Australia","Pacific","Australia",573
"Favorite Toy Distributor",1979,"Primary Bank & Reserve","Warehouse",2013,2013,3000000,"1 (11) 500 555-0136",88,300000,"1, place de la R‚publique","Paris","FR","France","75017","Seine (Paris)","75",1000,"Touring","Q",5,"France","Europe","France",614
"Fast Services",1985,"Guardian Bank","Value Added Reseller",2013,2013,300000,"1 (11) 500 555-0157",3,30000,"K”nigsteiner Straáe 449","Leipzig","DE","Germany","04139","Nordrhein-Westfalen","NW",,"Road","S",5,"Germany","Europe","Germany",615
"Eastward Bike Accessories",1978,"Reserve Security","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0151",39,150000,"Level 7 201 Sussex Street","Matraville","AU","Australia","2036","New South Wales","NSW",,"Touring","A",6,"Australia","Pacific","Australia",616
"Tubeless Tire Company",1984,"International Bank","Warehouse",2013,2013,3000000,"1 (11) 500 555-0146",89,300000,"2574 Milton Park","Oxford","GB","United Kingdom","OX14 4SE","England","ENG",,"Touring","Q",8,"United Kingdom","Europe","United Kingdom",617
"Ultimate Bicycle Company",1978,"International Security","Warehouse",2013,2013,3000000,"1 (11) 500 555-0156",94,300000,"12, rue Lafayette","Morangis","FR","France","91420","Essonne","91",,"Mountain","Q",5,"France","Europe","France",632
"Rustic Bike Store",1980,"Primary International","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0144",12,80000,"Buergermeister-ulrich-str 3000 Buchhaltung","Augsburg","DE","Germany","86150","Bayern","BY",,"Touring","S",6,"Germany","Europe","Germany",633
"Liquidation Sales",1994,"Primary International","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0196",31,150000,"No. 6 Millenium Court","Perth","AU","Australia","6006","South Australia","SA",,"Touring","A",6,"Australia","Pacific","Australia",640
"Impervious Paint Company",1976,"Primary Bank & Reserve","Specialty Bike Shop",2013,2013,800000,"1 (11) 500 555-0134",10,80000,"3383, rue Lamarck","Paris","FR","France","75007","Seine (Paris)","75",,"Mountain","A",5,"France","Europe","France",656
"Shipping Specialists",1982,"International Bank","Specialty Bike Shop",2013,2013,800000,"1 (11) 500 555-0174",13,80000,"25 Hartfield Road, Wimbledon","London","GB","United Kingdom","SW19 3RU","England","ENG",,"Road","A",5,"United Kingdom","Europe","United Kingdom",659
"Finer Sporting Goods",1988,"United Security","Specialty Bike Shop",2013,2013,800000,"1 (11) 500 555-0146",16,80000,"28, avenue des Champs-Elys‚es","Croix","FR","France","59170","Nord","59",,"Touring","A",5,"France","Europe","France",662
"Capital Riding Supplies",1990,"Primary Bank & Reserve","Warehouse",2013,2013,1500000,"1 (11) 500 555-0112",46,150000,"Buergermeister-ulrich-str 9500","Augsburg","DE","Germany","86171","Hamburg","HH",,"Mountain","Q",5,"Germany","Europe","Germany",663
"Racing Tours",1987,"International Bank","Specialty Bike Shop",2013,2013,1500000,"1 (11) 500 555-0139",34,150000,"21, avenue de la Gare","Sèvres","FR","France","92310","Hauts de Seine","92",600,"Mountain","A",5,"France","Europe","France",680
"Showcase for Cycles",2000,"International Security","Warehouse",2013,2013,3000000,"1 (11) 500 555-0153",64,300000,"Erftplatz 22","Sulzbach Taunus","DE","Germany","66272","Saarland","SL",,"Road","Q",4,"Germany","Europe","Germany",681
"Popular Bike Lines",1991,"Primary International","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0182",17,80000,"Level 7 80 Arthur Street","Newcastle","AU","Australia","2300","New South Wales","NSW",,"Touring","S",6,"Australia","Pacific","Australia",682
"Functional Store South",1997,"International Bank","Warehouse",2013,2013,3000000,"1 (11) 500 555-0178",70,300000,"Viktoria-Luise-Platz 475","München","DE","Germany","80074","Nordrhein-Westfalen","NW",,"Mountain","Q",5,"Germany","Europe","Germany",687
"Bike Part Wholesalers",2003,"International Security","Value Added Reseller",2013,2013,800000,"1 (11) 500 555-0191",15,80000,"254a Baker Street Botany","Sydney","AU","Australia","1002","New South Wales","NSW",,"Touring","S",6,"Australia","Pacific","Australia",688
"Cycle Merchants",1995,"International Security","Warehouse",2012,2013,3000000,"783-555-0110",67,300000,"575 Rue St Amable","Quebec","CA","Canada","G1R","Quebec","QC",600,"Road","Q",6,"Canada","North America","Canada",30
"Grand Industries",1996,"Guardian Bank","Warehouse",2013,2013,3000000,"164-555-0118",81,300000,"6333 Cote Vertu","Montreal","CA","Canada","H1Y 2H7","Quebec","QC",600,"Touring","Q",6,"Canada","North America","Canada",48
"Metal Clearing House",1988,"International Bank","Value Added Reseller",2013,2013,300000,"290-555-0196",5,30000,"3255 Front Street West","Toronto","CA","Canada","M4B 1V6","Ontario","ON",200,"Touring","S",5,"Canada","North America","Canada",64
"Rapid Bikes",1990,"Guardian Bank","Warehouse",2011,2013,1500000,"316-555-0138",46,150000,"992 St Clair Ave East","Toronto","CA","Canada","M4B 1V7","Ontario","ON",600,"Mountain","Q",6,"Canada","North America","Canada",118
"Red Bicycle Company",1992,"Reserve Security","Value Added Reseller",2010,2013,800000,"667-555-0112",11,80000,"99, Rue Saint-pierre","Pnot-Rouge","CA","Canada","J1E 2T7","Quebec","QC",200,"Mountain","S",4,"Canada","North America","Canada",119
"Wholesale Parts",2000,"Primary International","Warehouse",2011,2011,3000000,"674-555-0187",64,300000,"655-4th Ave S.W.","Calgary","CA","Canada","T2P 2G8","Alberta","AB",600,"Road","Q",5,"Canada","North America","Canada",136
"Sundry Sporting Goods",1988,"Primary Bank & Reserve","Value Added Reseller",2011,2013,300000,"722-555-0169",5,30000,"595 Burning Street","Vancouver","CA","Canada","V7L 4J4","British Columbia","BC",600,"Road","S",6,"Canada","North America","Canada",173
"Toy Manufacturing Inc",1981,"Guardian Bank","Specialty Bike Shop",,,1500000,"838-555-0147",41,150000,"252345 8810th Avenue","Surrey","CA","Canada","V3T 4W3","British Columbia","BC",600,"Road","A",,"Canada","North America","Canada",174
"Non-Slip Pedal Company",1979,"International Security","Value Added Reseller",2011,2013,300000,"303-555-0117",8,30000,"258 King Street East","Toronto","CA","Canada","M4B 1V7","Ontario","ON",600,"Road","S",11,"Canada","North America","Canada",191
"Home Town Bike Store",1992,"United Security","Value Added Reseller",2013,2013,800000,"356-555-0190",11,80000,"955 Green Valley Crescent","Ottawa","CA","Canada","K4B 1S1","Ontario","ON",600,"Touring","S",6,"Canada","North America","Canada",228
"Large Bike Shop",1991,"International Bank","Value Added Reseller",2011,2012,800000,"481-555-0131",17,80000,"600 Boul. Rene-levesque Ouest","Montreal","CA","Canada","H1Y 2H7","Quebec","QC",600,"Mountain","S",1,"Canada","North America","Canada",246
"General Industries",1998,"Primary International","Specialty Bike Shop",2012,2013,1500000,"718-555-0152",48,150000,"9259 - 1110th Avenue Sw","Calgary","CA","Canada","T2P 2G8","Alberta","AB",600,"Road","A",6,"Canada","North America","Canada",262
"Low Price Cycles",2000,"International Bank","Specialty Bike Shop",2013,2013,1500000,"207-555-0167",30,150000,"Suite 500 995 W. 11th Avenue","Mississauga","CA","Canada","L5A 1H6","Ontario","ON",600,"Mountain","A",5,"Canada","North America","Canada",316
"Finer Riding Supplies",2002,"International Security","Warehouse",2011,2013,3000000,"767-555-0151",98,300000,"#9900 2700 Production Way","Burnaby","CA","Canada","V5A 4X1","British Columbia","BC",1000,"Road","Q",5,"Canada","North America","Canada",317
"Retreat Inn",1986,"Primary Bank & Reserve","Value Added Reseller",2012,2013,300000,"155-555-0140",8,30000,"Suite 2502 410 Albert Street","Waterloo","CA","Canada","N2V","Ontario","ON",600,"Road","S",5,"Canada","North America","Canada",334
