gamename,date,avg,gain,peak,avg_peak_perc,site
"A Dance of Fire and Ice",2019-01-01 00:00:00.000,16.39,,37,0.443,"SteamCharts"
"Crusaders of the Lost Idols",2015-10-01 00:00:00.000,2010.84,,4006,0.502,"SteamCharts"
"Farming Simulator 17",2016-07-01 00:00:00.000,2.4,,16,0.15,"SteamCharts"
"Barotrauma",2019-06-01 00:00:00.000,527.83,,1496,0.3528,"SteamCharts"
"Spore",2012-07-01 00:00:00.000,276.9,,509,0.544,"SteamCharts"
"Insurgency",2012-10-01 00:00:00.000,0.19,,5,0.038,"SteamCharts"
"Enter the Gungeon",2015-04-01 00:00:00.000,0.13,,2,0.065,"SteamCharts"
"Minion Masters",2016-10-01 00:00:00.000,2.02,,23,0.0878,"SteamCharts"
"Source Filmmaker",2012-07-01 00:00:00.000,552.64,,1110,0.4979,"SteamCharts"
"NARUTO SHIPPUDEN: Ultimate Ninja STORM 4",2016-02-01 00:00:00.000,1624.09,,5931,0.2738,"SteamCharts"
"The Lord of the Rings Online™",2012-07-01 00:00:00.000,1451.1,,2388,0.6077,"SteamCharts"
"Tropico 6",2017-09-01 00:00:00.000,0.05,,3,0.0167,"SteamCharts"
"Realm Grinder",2017-06-01 00:00:00.000,2044.79,,4107,0.4979,"SteamCharts"
"Blood of Steel",2020-10-01 00:00:00.000,1032.95,,1612,0.6408,"SteamCharts"
"Realm Royale",2018-06-01 00:00:00.000,32811.94,,104557,0.3138,"SteamCharts"
"Victoria II",2012-07-01 00:00:00.000,138.24,,232,0.5959,"SteamCharts"
"BioShock Remastered",2016-09-01 00:00:00.000,2118.53,,5245,0.4039,"SteamCharts"
"Undertale",2015-09-01 00:00:00.000,755.82,,2358,0.3205,"SteamCharts"
"DOOM",2016-05-01 00:00:00.000,13036.3,,31623,0.4122,"SteamCharts"
"Just Cause 3",2015-12-01 00:00:00.000,8687.22,,23459,0.3703,"SteamCharts"
"Naval Action",2016-01-01 00:00:00.000,2157.2,,5221,0.4132,"SteamCharts"
"Age of Empires: Definitive Edition",2019-08-01 00:00:00.000,846.71,,1464,0.5784,"SteamCharts"
"Age of History II",2018-11-01 00:00:00.000,1190.11,,2108,0.5646,"SteamCharts"
"Football Manager 2016",2015-11-01 00:00:00.000,24360.14,,65264,0.3733,"SteamCharts"
"Temtem",2020-01-01 00:00:00.000,21967.39,,39501,0.5561,"SteamCharts"
"Ironsight",2019-06-01 00:00:00.000,1666.55,,4669,0.3569,"SteamCharts"
"Fallout Shelter",2017-04-01 00:00:00.000,16783.83,,42390,0.3959,"SteamCharts"
"CODE VEIN",2019-10-01 00:00:00.000,7101.29,,22946,0.3095,"SteamCharts"
"Battle Brothers",2015-04-01 00:00:00.000,76.83,,318,0.2416,"SteamCharts"
"Cossacks 3",2016-08-01 00:00:00.000,0.34,,6,0.0567,"SteamCharts"
"Rising Storm 2: Vietnam",2017-06-01 00:00:00.000,4478.76,,13870,0.3229,"SteamCharts"
"KARDS - The WWII Card Game",2019-04-01 00:00:00.000,324.72,,594,0.5467,"SteamCharts"
"Surviving Mars",2017-05-01 00:00:00.000,0.7,,14,0.05,"SteamCharts"
"Game of Thrones Winter is Coming",2019-11-01 00:00:00.000,333.55,,561,0.5946,"SteamCharts"
"Project CARS 2",2017-09-01 00:00:00.000,2974.76,,6726,0.4423,"SteamCharts"
"Governor of Poker 3",2016-02-01 00:00:00.000,680.04,,1595,0.4264,"SteamCharts"
"Outward",2019-04-01 00:00:00.000,3291.5,,10015,0.3287,"SteamCharts"
"FTL: Faster Than Light",2012-09-01 00:00:00.000,6591.43,,17537,0.3759,"SteamCharts"
"Out of the Park Baseball 21",2020-03-01 00:00:00.000,1044.2,,1614,0.647,"SteamCharts"
"Metin2",2017-05-01 00:00:00.000,3343.71,,8253,0.4052,"SteamCharts"
"Rocksmith® 2014 Edition - Remastered",2013-10-01 00:00:00.000,1088.91,,2145,0.5077,"SteamCharts"
"Train Sim World® 2",2020-08-01 00:00:00.000,736.96,,1799,0.4097,"SteamCharts"
"War Robots",2018-03-01 00:00:00.000,0.58,,13,0.0446,"SteamCharts"
"Mass Effect™: Andromeda",2020-06-01 00:00:00.000,936.25,,1632,0.5737,"SteamCharts"
"Control Ultimate Edition",2020-09-01 00:00:00.000,2647.62,,7130,0.3713,"SteamCharts"
"Half-Life 2",2012-07-01 00:00:00.000,1144.8,,1895,0.6041,"SteamCharts"
"TERA",2012-09-01 00:00:00.000,9.11,,25,0.3644,"SteamCharts"
"Cell to Singularity - Evolution Never Ends",2018-12-01 00:00:00.000,864.75,,1328,0.6512,"SteamCharts"
"Half-Life: Alyx",2020-03-01 00:00:00.000,7585.02,,16459,0.4608,"SteamCharts"
"PC Building Simulator",2017-07-01 00:00:00.000,0.02,,1,0.02,"SteamCharts"
"Cuphead",2017-06-01 00:00:00.000,0.85,,3,0.2833,"SteamCharts"
"Yakuza: Like a Dragon",2020-11-01 00:00:00.000,5031.06,,9508,0.5291,"SteamCharts"
"Divinity: Original Sin Enhanced Edition",2015-11-01 00:00:00.000,2176.75,,7547,0.2884,"SteamCharts"
"War Selection",2019-10-01 00:00:00.000,287.74,,660,0.436,"SteamCharts"
"Dawn of Man",2019-03-01 00:00:00.000,5539.65,,23738,0.2334,"SteamCharts"
"Wolcen: Lords of Mayhem",2016-03-01 00:00:00.000,37.19,,203,0.1832,"SteamCharts"
"F1 2019",2019-07-01 00:00:00.000,3272.47,,9112,0.3591,"SteamCharts"
"Trailmakers",2017-04-01 00:00:00.000,2.93,,11,0.2664,"SteamCharts"
"Monster Train",2020-05-01 00:00:00.000,10398.29,,14037,0.7408,"SteamCharts"
"Football Manager 2015",2014-10-01 00:00:00.000,10836.48,,20262,0.5348,"SteamCharts"
"FINAL FANTASY XV WINDOWS EDITION",2017-08-01 00:00:00.000,2.29,,11,0.2082,"SteamCharts"
"Batman™: Arkham Knight",2015-06-01 00:00:00.000,13506.54,,25623,0.5271,"SteamCharts"
"Pro Cycling Manager 2020",2020-06-01 00:00:00.000,1041.64,,2258,0.4613,"SteamCharts"
"Golf It!",2017-02-01 00:00:00.000,21.78,,147,0.1482,"SteamCharts"
"Deadside",2020-04-01 00:00:00.000,5374.76,,9573,0.5615,"SteamCharts"
"Mafia III: Definitive Edition",2016-10-01 00:00:00.000,10462.93,,47409,0.2207,"SteamCharts"
"Fallout: New Vegas RU",2012-07-01 00:00:00.000,561.07,,1168,0.4804,"SteamCharts"
"Wreckfest",2012-12-01 00:00:00.000,0,,0,,"SteamCharts"
"The Witcher 2: Assassins of Kings Enhanced Edition",2012-07-01 00:00:00.000,871.07,,1869,0.4661,"SteamCharts"
"Wargame: Red Dragon",2014-03-01 00:00:00.000,877.02,,2573,0.3409,"SteamCharts"
"Deceit",2016-09-01 00:00:00.000,1.16,,6,0.1933,"SteamCharts"
"Idling to Rule the Gods",2016-05-01 00:00:00.000,993.83,,2771,0.3587,"SteamCharts"
"Pillars of Eternity II: Deadfire",2017-11-01 00:00:00.000,7.69,,20,0.3845,"SteamCharts"
"Crush Crush",2016-05-01 00:00:00.000,872.94,,1708,0.5111,"SteamCharts"
"Warhammer 40,000: Dawn of War - Soulstorm",2012-07-01 00:00:00.000,228.64,,482,0.4744,"SteamCharts"
"Ravenfield",2017-05-01 00:00:00.000,346.6,,1226,0.2827,"SteamCharts"
"Avorion",2017-01-01 00:00:00.000,391.35,,3023,0.1295,"SteamCharts"
"Far Cry 4",2014-08-01 00:00:00.000,2.81,,13,0.2162,"SteamCharts"
"Black Mesa",2015-05-01 00:00:00.000,574,,1697,0.3382,"SteamCharts"
"Pavlov VR",2016-12-01 00:00:00.000,0,,0,,"SteamCharts"
"Life is Feudal: Your Own",2014-09-01 00:00:00.000,1892.45,,7272,0.2602,"SteamCharts"
"The Witcher: Enhanced Edition",2012-07-01 00:00:00.000,735.1,,1613,0.4557,"SteamCharts"
"PGA TOUR 2K21",2020-08-01 00:00:00.000,3018.41,,5408,0.5581,"SteamCharts"
"The Outer Worlds",2020-10-01 00:00:00.000,9502.71,,16900,0.5623,"SteamCharts"
"BioShock Infinite",2013-03-01 00:00:00.000,30090.35,,65198,0.4615,"SteamCharts"
"Bloons TD Battles",2016-04-01 00:00:00.000,1204.61,,2577,0.4674,"SteamCharts"
"Teardown",2020-11-01 00:00:00.000,1955.85,,6734,0.2904,"SteamCharts"
"Timberborn Demo",2021-01-01 00:00:00.000,105.64,,180,0.5869,"SteamCharts"
"RPG Maker MV",2015-10-01 00:00:00.000,899.64,,1646,0.5466,"SteamCharts"
"STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™",2012-08-01 00:00:00.000,886.34,,1794,0.4941,"SteamCharts"
"Resident Evil 3",2020-04-01 00:00:00.000,5771.4,,32635,0.1768,"SteamCharts"
"Resident Evil 4",2014-01-01 00:00:00.000,0.4,,2,0.2,"SteamCharts"
"UBOAT",2016-12-01 00:00:00.000,0,,0,,"SteamCharts"
"Far Cry New Dawn",2019-02-01 00:00:00.000,6019.23,,12369,0.4866,"SteamCharts"
"GTFO",2017-12-01 00:00:00.000,0.51,,4,0.1275,"SteamCharts"
"This War of Mine",2014-10-01 00:00:00.000,1.38,,7,0.1971,"SteamCharts"
"RaceRoom Racing Experience",2012-09-01 00:00:00.000,105.12,,452,0.2326,"SteamCharts"
"Tree of Savior (Japanese Ver.)",2019-12-01 00:00:00.000,1067.89,,2107,0.5068,"SteamCharts"
"Post Scriptum",2018-01-01 00:00:00.000,0.73,,71,0.0103,"SteamCharts"
"Far Cry® 3",2012-12-01 00:00:00.000,8765.2,,18451,0.4751,"SteamCharts"
"Graveyard Keeper",2018-08-01 00:00:00.000,7900.59,,16973,0.4655,"SteamCharts"
"CRSED",2018-06-01 00:00:00.000,3259.85,,8466,0.3851,"SteamCharts"
"Terraforming Mars",2018-10-01 00:00:00.000,302.83,,621,0.4876,"SteamCharts"
"Steel Division 2",2019-06-01 00:00:00.000,1230.57,,2257,0.5452,"SteamCharts"
"Ultimate Epic Battle Simulator",2017-04-01 00:00:00.000,592.01,,1774,0.3337,"SteamCharts"
"Resident Evil 6",2013-03-01 00:00:00.000,5536,,11836,0.4677,"SteamCharts"
"Phoenix Point: Year One Edition",2020-12-01 00:00:00.000,2087.05,,4969,0.42,"SteamCharts"
"Dishonored 2",2016-11-01 00:00:00.000,7863.39,,22269,0.3531,"SteamCharts"
"Blood Bowl 2",2013-04-01 00:00:00.000,0,,0,,"SteamCharts"
"OVR Advanced Settings",2020-04-01 00:00:00.000,56.88,,88,0.6464,"SteamCharts"
"Motorsport Manager",2016-11-01 00:00:00.000,2784.42,,6196,0.4494,"SteamCharts"
"A Way Out",2020-06-01 00:00:00.000,424.01,,925,0.4584,"SteamCharts"
"Tom Clancy's The Division",2016-03-01 00:00:00.000,65065.31,,113877,0.5714,"SteamCharts"
"Steep",2016-12-01 00:00:00.000,789.25,,2087,0.3782,"SteamCharts"
"Action Taimanin",2020-10-01 00:00:00.000,834.75,,1670,0.4999,"SteamCharts"
"Sins of a Solar Empire: Rebellion",2012-07-01 00:00:00.000,1103.01,,2065,0.5341,"SteamCharts"
"The Divine Paradox",2016-09-01 00:00:00.000,0.17,,3,0.0567,"SteamCharts"
"rFactor 2",2015-11-01 00:00:00.000,112.81,,313,0.3604,"SteamCharts"
"Rise of Nations: Extended Edition",2014-06-01 00:00:00.000,553.14,,2324,0.238,"SteamCharts"
"Idle Monster TD",2020-12-01 00:00:00.000,568.49,,735,0.7735,"SteamCharts"
"Danganronpa 2: Goodbye Despair",2016-04-01 00:00:00.000,336.38,,1615,0.2083,"SteamCharts"
"Ori and the Blind Forest: Definitive Edition",2016-05-01 00:00:00.000,328.57,,1389,0.2366,"SteamCharts"
"Borderlands: The Pre-Sequel",2014-10-01 00:00:00.000,24023.65,,67244,0.3573,"SteamCharts"
"Unrailed!",2019-09-01 00:00:00.000,299.95,,1493,0.2009,"SteamCharts"
"Soccer Manager 2021",2020-12-01 00:00:00.000,637.15,,1149,0.5545,"SteamCharts"
"DDraceNetwork",2020-08-01 00:00:00.000,745.62,,1217,0.6127,"SteamCharts"
"Idle Wizard",2019-01-01 00:00:00.000,737.87,,1085,0.6801,"SteamCharts"
"Wasteland 3",2020-09-01 00:00:00.000,5860.91,,16839,0.3481,"SteamCharts"
"Stick Fight: The Game",2017-09-01 00:00:00.000,72.46,,1376,0.0527,"SteamCharts"
"Mindustry",2019-10-01 00:00:00.000,781.54,,1829,0.4273,"SteamCharts"
"Yakuza Kiwami 2",2019-05-01 00:00:00.000,1236.72,,3217,0.3844,"SteamCharts"
"Citadel: Forged With Fire",2017-07-01 00:00:00.000,1349.8,,7720,0.1748,"SteamCharts"
"Stream Avatars",2017-07-01 00:00:00.000,6.45,,23,0.2804,"SteamCharts"
"Digimon Masters Online",2016-10-01 00:00:00.000,0.16,,3,0.0533,"SteamCharts"
"DJMAX RESPECT V",2019-12-01 00:00:00.000,1205.22,,2290,0.5263,"SteamCharts"
"Dead Frontier 2",2018-03-01 00:00:00.000,0.01,,1,0.01,"SteamCharts"
"MudRunner",2017-11-01 00:00:00.000,1568.56,,6922,0.2266,"SteamCharts"
"Middle-earth™: Shadow of Mordor™",2014-08-01 00:00:00.000,23.12,,67,0.3451,"SteamCharts"
"ShareX",2015-10-01 00:00:00.000,33.03,,70,0.4719,"SteamCharts"
"Counter-Strike Nexon: Studio",2014-09-01 00:00:00.000,301.56,,6436,0.0469,"SteamCharts"
"Mad Max",2013-03-01 00:00:00.000,0,,0,,"SteamCharts"
"<U+55DC><U+8840><U+5370> Bloody Spell",2019-01-01 00:00:00.000,99.37,,657,0.1512,"SteamCharts"
"Golf With Your Friends",2016-01-01 00:00:00.000,1.08,,24,0.045,"SteamCharts"
"Lobotomy Corporation",2016-12-01 00:00:00.000,8.55,,26,0.3288,"SteamCharts"
"Friday the 13th: The Game",2016-05-01 00:00:00.000,0.25,,5,0.05,"SteamCharts"
"<U+592A><U+543E><U+7ED8><U+5377> The Scroll Of Taiwu",2018-09-01 00:00:00.000,26162.29,,72046,0.3631,"SteamCharts"
"Left 4 Dead",2012-07-01 00:00:00.000,1196.52,,2117,0.5652,"SteamCharts"
"Ultimate Chicken Horse",2015-09-01 00:00:00.000,0.3,,4,0.075,"SteamCharts"
"Feed and Grow: Fish",2016-01-01 00:00:00.000,5.05,,31,0.1629,"SteamCharts"
"Fisher Online",2019-11-01 00:00:00.000,827.49,,1940,0.4265,"SteamCharts"
"Sands of Salzaar",2020-01-01 00:00:00.000,5512.24,,21047,0.2619,"SteamCharts"
"Doki Doki Literature Club",2017-10-01 00:00:00.000,1382.54,,2326,0.5944,"SteamCharts"
"Clone Drone in the Danger Zone",2017-03-01 00:00:00.000,139.91,,465,0.3009,"SteamCharts"
"TerraTech",2015-02-01 00:00:00.000,42.96,,116,0.3703,"SteamCharts"
"Cyber Hunter",2020-06-01 00:00:00.000,535.36,,1026,0.5218,"SteamCharts"
"Little Nightmares",2016-09-01 00:00:00.000,0.76,,7,0.1086,"SteamCharts"
"Sniper Ghost Warrior Contracts",2019-12-01 00:00:00.000,768.28,,1947,0.3946,"SteamCharts"
"Bloons Monkey City",2020-04-01 00:00:00.000,704.54,,1166,0.6042,"SteamCharts"
"Soulworker",2020-10-01 00:00:00.000,3437.8,,7975,0.4311,"SteamCharts"
"Subsistence",2016-10-01 00:00:00.000,85.86,,398,0.2157,"SteamCharts"
"Gears 5",2019-09-01 00:00:00.000,3277.51,,9878,0.3318,"SteamCharts"
"Quake Champions",2017-08-01 00:00:00.000,1050.72,,2388,0.44,"SteamCharts"
"Age of Wonders III",2012-12-01 00:00:00.000,0,,0,,"SteamCharts"
"Stronghold Kingdoms",2012-07-01 00:00:00.000,3364.4,,4748,0.7086,"SteamCharts"
"Baldur's Gate II: Enhanced Edition",2013-11-01 00:00:00.000,957.12,,1760,0.5438,"SteamCharts"
"Railway Empire",2017-02-01 00:00:00.000,0.23,,3,0.0767,"SteamCharts"
"Resident Evil 5",2012-07-01 00:00:00.000,48.74,,93,0.5241,"SteamCharts"
"Imperator: Rome",2019-05-01 00:00:00.000,3761.46,,13616,0.2763,"SteamCharts"
"Football Manager 2012",2012-07-01 00:00:00.000,30730.75,,60437,0.5085,"SteamCharts"
"Borderless Gaming",2015-07-01 00:00:00.000,348.79,,543,0.6423,"SteamCharts"
"Mass Effect",2012-07-01 00:00:00.000,459.61,,835,0.5504,"SteamCharts"
"The Elder Scrolls III: Morrowind",2012-07-01 00:00:00.000,183.46,,448,0.4095,"SteamCharts"
"SimCity 4 Deluxe",2012-07-01 00:00:00.000,794.75,,2269,0.3503,"SteamCharts"
"Dungeon Defenders II",2013-04-01 00:00:00.000,0.04,,2,0.02,"SteamCharts"
"F1 2012",2012-09-01 00:00:00.000,1297.87,,3625,0.358,"SteamCharts"
"Farming Simulator 2013",2012-10-01 00:00:00.000,1941.93,,3851,0.5043,"SteamCharts"
"Football Manager 2014",2013-02-01 00:00:00.000,0.02,,1,0.02,"SteamCharts"
"F1 2014",2012-12-01 00:00:00.000,0.04,,2,0.02,"SteamCharts"
"Construction-Simulator 2015",2014-09-01 00:00:00.000,1.49,,8,0.1863,"SteamCharts"
"Car Mechanic Simulator 2015",2015-03-01 00:00:00.000,0.14,,2,0.07,"SteamCharts"
"F1 2015",2015-04-01 00:00:00.000,12.55,,53,0.2368,"SteamCharts"
"Pro Evolution Soccer 2016",2015-09-01 00:00:00.000,2152.36,,3769,0.5711,"SteamCharts"
"F1 2016",2016-06-01 00:00:00.000,19.2,,73,0.263,"SteamCharts"
"Pro Evolution Soccer 2017",2016-09-01 00:00:00.000,3269.72,,5915,0.5528,"SteamCharts"
"F1 2017",2017-08-01 00:00:00.000,3868.18,,8085,0.4784,"SteamCharts"
"F1 2018",2018-08-01 00:00:00.000,4387.98,,9559,0.459,"SteamCharts"
"Farm Manager 2018",2017-08-01 00:00:00.000,0.11,,1,0.11,"SteamCharts"
"Deus Ex: Mankind Divided™",2016-08-01 00:00:00.000,15713.1,,52051,0.3019,"SteamCharts"
"SYNTHETIK",2018-02-01 00:00:00.000,0.12,,3,0.04,"SteamCharts"
"Lost Castle",2016-02-01 00:00:00.000,670.61,,2917,0.2299,"SteamCharts"
"Digimon Story Cyber Sleuth: Complete Edition",2019-10-01 00:00:00.000,1396.21,,2193,0.6367,"SteamCharts"
"CosmicBreak Universal",2021-01-01 00:00:00.000,800.85,,1984,0.4037,"SteamCharts"
"Sven Co-op",2016-01-01 00:00:00.000,2394.71,,6510,0.3679,"SteamCharts"
"Marvel Puzzle Quest",2013-12-01 00:00:00.000,1394.32,,2598,0.5367,"SteamCharts"
"Torchlight II",2012-09-01 00:00:00.000,26981.13,,54010,0.4996,"SteamCharts"
"Sleeping Dogs: Definitive Edition",2014-10-01 00:00:00.000,221.81,,543,0.4085,"SteamCharts"
"Wolfenstein II: The New Colossus",2017-10-01 00:00:00.000,8106.8,,16050,0.5051,"SteamCharts"
"OCTOPATH TRAVELER",2019-06-01 00:00:00.000,2170.35,,6098,0.3559,"SteamCharts"
"S.T.A.L.K.E.R.: Shadow of Chernobyl",2012-07-01 00:00:00.000,363.7,,1110,0.3277,"SteamCharts"
"Call of Duty: Modern Warfare 2",2012-07-01 00:00:00.000,1157.47,,2021,0.5727,"SteamCharts"
"Getting Over It with Bennett Foddy",2017-10-01 00:00:00.000,0.29,,3,0.0967,"SteamCharts"
"DC Universe Online",2012-07-01 00:00:00.000,2036.19,,3112,0.6543,"SteamCharts"
"NBA 2K18",2017-09-01 00:00:00.000,11566.6,,22095,0.5235,"SteamCharts"
"Danganronpa: Trigger Happy Havoc",2016-01-01 00:00:00.000,0.65,,3,0.2167,"SteamCharts"
"Outlast",2013-08-01 00:00:00.000,3.41,,13,0.2623,"SteamCharts"
"Curious Expedition 2",2020-06-01 00:00:00.000,39.63,,97,0.4086,"SteamCharts"
"The Elder Scrolls: Legends",2017-06-01 00:00:00.000,3427.54,,8781,0.3903,"SteamCharts"
"Kingdoms Reborn",2020-11-01 00:00:00.000,722.38,,1743,0.4144,"SteamCharts"
"DEAD OR ALIVE Xtreme Venus Vacation [JP]",2020-08-01 00:00:00.000,360.7,,830,0.4346,"SteamCharts"
"Hacknet",2015-07-01 00:00:00.000,0.16,,2,0.08,"SteamCharts"
"Farming Simulator 15",2014-08-01 00:00:00.000,0,,0,,"SteamCharts"
"Plants vs. Zombies: Battle for Neighborville",2020-06-01 00:00:00.000,313.94,,857,0.3663,"SteamCharts"
"Desperados III",2020-06-01 00:00:00.000,2701.73,,5997,0.4505,"SteamCharts"
"Terraria",2012-07-01 00:00:00.000,9022.77,,16097,0.5605,"SteamCharts"
"Left 4 Dead 2",2012-07-01 00:00:00.000,12228.47,,21811,0.5607,"SteamCharts"
"The Witcher 3: Wild Hunt",2015-05-01 00:00:00.000,51916.54,,92268,0.5627,"SteamCharts"
"Life is Strange™",2015-02-01 00:00:00.000,568.15,,2687,0.2114,"SteamCharts"
"Z1 Battle Royale",2016-02-01 00:00:00.000,14039.58,,20916,0.6712,"SteamCharts"
"Don't Starve Together",2014-12-01 00:00:00.000,8904,,16349,0.5446,"SteamCharts"
"Counter-Strike: Source",2012-07-01 00:00:00.000,27969.52,,47909,0.5838,"SteamCharts"
"Monster Hunter: World",2018-08-01 00:00:00.000,188291.24,,329333,0.5717,"SteamCharts"
"Cities: Skylines",2014-08-01 00:00:00.000,0.55,,5,0.11,"SteamCharts"
"Fallout: New Vegas",2012-07-01 00:00:00.000,7159.7,,12756,0.5613,"SteamCharts"
"No Man's Sky",2016-08-01 00:00:00.000,36976.41,,212321,0.1742,"SteamCharts"
"Space Engineers",2013-10-01 00:00:00.000,1192.34,,2089,0.5708,"SteamCharts"
"Saints Row IV",2013-08-01 00:00:00.000,17154.72,,38627,0.4441,"SteamCharts"
"Age of Empires II (2013)",2013-04-01 00:00:00.000,5142.24,,11761,0.4372,"SteamCharts"
"Killing Floor",2012-07-01 00:00:00.000,3498.33,,6984,0.5009,"SteamCharts"
"Portal",2012-07-01 00:00:00.000,709.83,,1367,0.5193,"SteamCharts"
"Chivalry: Medieval Warfare",2012-09-01 00:00:00.000,32.94,,230,0.1432,"SteamCharts"
"Castle Crashers",2012-10-01 00:00:00.000,310.01,,824,0.3762,"SteamCharts"
"Rise of the Tomb Raider",2016-02-01 00:00:00.000,10274.28,,27945,0.3677,"SteamCharts"
"No More Room in Hell",2013-11-01 00:00:00.000,4105.84,,10869,0.3778,"SteamCharts"
"BattleBlock Theater",2014-05-01 00:00:00.000,966.48,,2172,0.445,"SteamCharts"
"Goat Simulator",2014-03-01 00:00:00.000,1160.63,,2709,0.4284,"SteamCharts"
"Hotline Miami",2012-10-01 00:00:00.000,486.52,,958,0.5079,"SteamCharts"
"Saints Row: The Third",2012-07-01 00:00:00.000,5747.84,,11899,0.4831,"SteamCharts"
"Divinity: Original Sin 2",2016-08-01 00:00:00.000,7.1,,18,0.3944,"SteamCharts"
"Dirty Bomb",2015-01-01 00:00:00.000,59.37,,312,0.1903,"SteamCharts"
"The Binding of Isaac",2012-07-01 00:00:00.000,4976.3,,8860,0.5617,"SteamCharts"
"To the Moon",2012-08-01 00:00:00.000,0.01,,1,0.01,"SteamCharts"
"Dishonored",2012-10-01 00:00:00.000,6391,,19930,0.3207,"SteamCharts"
"Battlerite",2016-09-01 00:00:00.000,5389.99,,13160,0.4096,"SteamCharts"
"Ring of Elysium",2018-09-01 00:00:00.000,26225.99,,52044,0.5039,"SteamCharts"
"NieR:Automata™",2017-03-01 00:00:00.000,11877.97,,23813,0.4988,"SteamCharts"
"POSTAL 2",2012-10-01 00:00:00.000,0.01,,1,0.01,"SteamCharts"
"South Park™: The Stick of Truth™",2014-03-01 00:00:00.000,8761.38,,34645,0.2529,"SteamCharts"
"PAYDAY: The Heist",2012-07-01 00:00:00.000,1573.86,,3608,0.4362,"SteamCharts"
"Just Cause 2",2012-07-01 00:00:00.000,1866.82,,4085,0.457,"SteamCharts"
"Firewatch",2016-02-01 00:00:00.000,1836.8,,17521,0.1048,"SteamCharts"
"Spec Ops: The Line",2012-07-01 00:00:00.000,387.1,,853,0.4538,"SteamCharts"
"Brothers - A Tale of Two Sons",2012-11-01 00:00:00.000,0.06,,1,0.06,"SteamCharts"
"The Stanley Parable",2012-10-01 00:00:00.000,0.04,,2,0.02,"SteamCharts"
"Mafia II (Classic)",2012-07-01 00:00:00.000,982.54,,1992,0.4932,"SteamCharts"
"Everlasting Summer",2014-11-01 00:00:00.000,557.7,,1160,0.4808,"SteamCharts"
"Broforce",2014-04-01 00:00:00.000,361.02,,822,0.4392,"SteamCharts"
"LIMBO",2012-07-01 00:00:00.000,548.31,,2302,0.2382,"SteamCharts"
"DARK SOULS™ II",2014-03-01 00:00:00.000,5.29,,18,0.2939,"SteamCharts"
"Star Wars: Battlefront 2 (Classic, 2005)",2012-07-01 00:00:00.000,303.06,,619,0.4896,"SteamCharts"
"Metro 2033 Redux",2014-09-01 00:00:00.000,411.15,,1707,0.2409,"SteamCharts"
"Bastion",2012-07-01 00:00:00.000,953.35,,2221,0.4292,"SteamCharts"
"Half-Life",2012-07-01 00:00:00.000,352.36,,674,0.5228,"SteamCharts"
"Game Dev Tycoon",2013-08-01 00:00:00.000,1101.7,,7376,0.1494,"SteamCharts"
"Rising Storm/Red Orchestra 2 Multiplayer",2012-07-01 00:00:00.000,972.5,,2759,0.3525,"SteamCharts"
"Grand Theft Auto: San Andreas",2012-07-01 00:00:00.000,672.99,,1492,0.4511,"SteamCharts"
"Wolfenstein: The New Order",2014-05-01 00:00:00.000,6176.13,,11808,0.523,"SteamCharts"
"Slay the Spire",2017-06-01 00:00:00.000,0.08,,2,0.04,"SteamCharts"
"Elite Dangerous",2015-04-01 00:00:00.000,4471.08,,9139,0.4892,"SteamCharts"
"Batman: Arkham City GOTY",2012-09-01 00:00:00.000,264.83,,593,0.4466,"SteamCharts"
"Emily is Away",2015-11-01 00:00:00.000,815.05,,2747,0.2967,"SteamCharts"
"Besiege",2015-02-01 00:00:00.000,3674.96,,6638,0.5536,"SteamCharts"
"Call of Duty: Black Ops II",2012-11-01 00:00:00.000,5510.73,,18202,0.3028,"SteamCharts"
"Papers, Please",2013-08-01 00:00:00.000,936.63,,2875,0.3258,"SteamCharts"
"American Truck Simulator",2015-06-01 00:00:00.000,0.09,,1,0.09,"SteamCharts"
"Resident Evil 2",2019-01-01 00:00:00.000,40205.7,,74024,0.5431,"SteamCharts"
"Alien: Isolation",2014-10-01 00:00:00.000,2552.85,,8456,0.3019,"SteamCharts"
"Slime Rancher",2016-01-01 00:00:00.000,969.5,,2684,0.3612,"SteamCharts"
"Fistful of Frags",2014-05-01 00:00:00.000,1353.48,,3498,0.3869,"SteamCharts"
"Metro: Last Light Redux",2014-09-01 00:00:00.000,310.42,,923,0.3363,"SteamCharts"
"Hitman: Absolution",2012-11-01 00:00:00.000,9671.01,,26039,0.3714,"SteamCharts"
