2017 Expenses.Category,2017 Expenses.SubCategory,2018FullCategory,2018FullSubCategory,2018 Expenses.Category,2018 Expenses.Subcategory,FullCategory,FullSubCategory,variable,value
Treasury Board Secretariat,Employee and Pensioner Benefits,Treasury Board Secretariat, Employee and Pensioner Benefits17,Treasury Board Secretariat, Employee and Pensioner Benefits,Treasury Board Secretariat, Employee and Pensioner Benefits17,Actual                2017–18,1442.0
Board of Internal Economy1 (Total),,Board of Internal Economy (Total),,Board of Internal Economy (Total),,Board of Internal Economy (Total),,Actual                2017–18,296.0
Year-End Savings4,,Year-End Savings,,Year-End Savings2,,Year-End Savings,,Actual                2017–18,
Education,Teachers’ Pension Plan2,Education, Teachers’ Pension Plan,Education, Teachers’ Pension Plan,Education, Teachers’ Pension Plan,Actual                2017–18,1659.0
Municipal Affairs / Housing,Time-Limited Investments,Municipal Affairs and Housing, Time-Limited Investments,Municipal Affairs/Housing, Time-Limited Investments,Municipal Affairs and Housing, Time-Limited Investments,Actual                2017–18,559.0
Interest on Debt3,,Interest on Debt18,,Interest on Debt1,,Interest on Debt18,,Actual                2017–18,11903.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,Actual                2017–18,1368.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,Actual                2017–18,1368.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,Actual                2017–18,1368.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,Actual                2017–18,1368.0
"Tourism, Culture and Sport",Time-Limited Investments to Support 2015 Pan/Parapan  American Games,"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,,,Actual                2017–18,
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,Actual                2017–18,993.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,Actual                2017–18,993.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,Actual                2017–18,384.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,Actual                2017–18,384.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,Actual                2017–18,384.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,Actual                2017–18,384.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,Actual                2017–18,384.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,Actual                2017–18,384.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,Actual                2017–18,384.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,Actual                2017–18,384.0
Community Safety and Correctional Services (Total),,Community Safety and Correctional Services (Base),,Community Safety and Correctional Services (Base),,,,Actual                2017–18,
Government and Consumer Services (Total),,Government and Consumer Services, Realty,Government and Consumer Services (Total),,Government and Consumer Services, Realty,Actual                2017–18,982.0
Government and Consumer Services (Total),,Government and Consumer Services (Base),,Government and Consumer Services (Total),,Government and Consumer Services (Base),,Actual                2017–18,668.0
Government and Consumer Services (Total),,Government and Consumer Services (Base),,Government and Consumer Services (Total),,Government and Consumer Services (Base),,Actual                2017–18,668.0
"Agriculture, Food and Rural Affairs","Agriculture, Food and Rural Affairs (Base)",,,,,,,Actual                2017–18,
"Agriculture, Food and Rural Affairs",Time-Limited Assistance,,,,,,,Actual                2017–18,
"Children, Community and Social Services",Community and Social Services (Base),,,,,,,Actual                2017–18,
Community Safety and Correctional Services,Community Safety and Correctional  Services (Base),,,,,,,Actual                2017–18,
"Economic Development and Growth / Research, Innovation and Science","Economic Development and Growth / Research, Innovation and Science (Base)",,,,,,,Actual                2017–18,
"Economic Development and Growth / Research, Innovation and Science",Green Investment Fund Initiatives,,,,,,,Actual                2017–18,
"Economic Development and Growth / Research, Innovation and Science (Total)",,,,,,,,Actual                2017–18,
Education,Education (Base),,,,,,,Actual                2017–18,
"Energy, Northern Development and Mines",Energy (Base),,,,,,,Actual                2017–18,
"Energy, Northern Development and Mines",Green Investment Fund Initiatives,,,,,,,Actual                2017–18,
Environment and Climate Change,Environment and Climate Change (Base),,,,,,,Actual                2017–18,
Environment and Climate Change,Green Investment Fund Initiatives,,,,,,,Actual                2017–18,
Environment and Climate Change (Total),,,,,,,,Actual                2017–18,
Executive Offices,Executive Offices (Base),,,,,,,Actual                2017–18,
Finance,Finance (Base),,,,,,,Actual                2017–18,
"Francophone Affairs, Office of (Total)",,,,,,,,Actual                2017–18,
Health and Long-Term Care,Health and Long-Term Care (Base),,,,,,,Actual                2017–18,
Health and Long-Term Care,Time-Limited Investments in Affordable and Supportive Housing,,,,,,,Actual                2017–18,
Health and Long-Term Care (Total),,,,,,,,Actual                2017–18,
Indigenous Relations and Reconciliation,Indigenous Relations and Reconciliation (Base),,,,,,,Actual                2017–18,
Indigenous Relations and Reconciliation,Green Investment Fund Initiatives,,,,,,,Actual                2017–18,
Indigenous Relations and Reconciliation,One-Time Investments including Settlements,,,,,,,Actual                2017–18,
Indigenous Relations and Reconciliation (Total),,,,,,,,Actual                2017–18,
Infrastructure,Infrastructure (Base),,,,,,,Actual                2017–18,
Labour (Total),,,,,,,,Actual                2017–18,
Municipal Affairs / Housing,Municipal Affairs / Housing (Base),,,,,,,Actual                2017–18,
Municipal Affairs / Housing,Green Investment Fund Initiatives,,,,,,,Actual                2017–18,
Natural Resources and Forestry,Natural Resources and Forestry (Base),,,,,,,Actual                2017–18,
"Tourism, Culture and Sport","Tourism, Culture and Sport (Base)",,,,,,,Actual                2017–18,
"Tourism, Culture and Sport (Total)",,,,,,,,Actual                2017–18,
Transportation,Transportation (Base),,,,,,,Actual                2017–18,
Transportation,Green Investment Fund Initiatives,,,,,,,Actual                2017–18,
Treasury Board Secretariat,Treasury Board Secretariat (Base),,,,,,,Actual                2017–18,
,,"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,,,"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,Actual                2018–19,
,,"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,,,"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,Actual                2018–19,96.0
,,"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,,,"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,Actual                2018–19,257.0
,,"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,,,"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,Actual                2018–19,383.0
,,Attorney General, COVID‑19 Time-Limited Funding7,,,Attorney General, COVID‑19 Time-Limited Funding7,Actual                2018–19,
,,Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",,,Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",Actual                2018–19,17.0
,,Attorney General (Base),,,,Attorney General (Base),,Actual                2018–19,1771.0
,,COVID‑19 Health Response21,,,,COVID‑19 Health Response21,,Actual                2018–19,
,,COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,,,COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,Actual                2018–19,0.0
,,Children and Youth Services (Total),,Children and Youth Services (Total),,,,Actual                2018–19,
,,"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,,,"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,Actual                2018–19,
,,Colleges and Universities, COVID‑19 Time-Limited Funding9,,,Colleges and Universities, COVID‑19 Time-Limited Funding9,Actual                2018–19,
